Date,Price,Open,High,Low,Volume,Chg%
2024-12-31,76232,75680,76970,75572,1920,0.95
2024-12-30,75517,75443,76450,75336,10260,-0.35
2024-12-27,75783,76160,76445,75661,15260,-0.43
2024-12-26,76114,75868,76200,75760,9730,0.73
2024-12-24,75562,75625,75688,75424,10820,0.07
2024-12-23,75506,75680,75964,75352,14200,-0.37
2024-12-20,75786,75200,76025,75070,16059,0.79
2024-12-19,75191,75500,75931,75008,19350,-1.21
2024-12-18,76115,76265,76465,76011,11000,-0.26
2024-12-17,76314,76563,76585,75932,15200,-0.22
2024-12-16,76486,76500,76859,76350,13730,-0.14
2024-12-13,76592,77517,77520,76520,19860,-1.04
2024-12-12,77400,78050,78360,77130,25140,-1.13
2024-12-11,78287,77899,78360,77590,30920,0.7
2024-12-10,77745,77135,77772,76920,20600,0.97
2024-12-09,76999,76261,77273,76160,21650,1.07
2024-12-06,76185,76141,76380,75894,14610,-0.22
2024-12-05,76353,76265,76449,76195,50,0.42
2024-12-04,76036,76267,76373,75900,210,0.13
2024-12-03,75934,76095,76164,75828,180,0.16
2024-12-02,75815,76100,76189,75587,1760,-0.88
2024-11-29,76485,76605,76606,76022,5350,0.96
2024-11-28,75761,75656,76091,75434,12130,-0.04
2024-11-27,75788,75578,76164,75578,15790,0.66
2024-11-26,75293,75556,75693,74857,22000,-0.11
2024-11-25,75377,77100,77100,75260,32159,-2.84
2024-11-22,77579,77000,77637,76959,23290,1.16
2024-11-21,76689,76250,76749,76051,20720,0.9
2024-11-20,76008,75484,76135,75380,13820,0.6
2024-11-19,75555,75255,75840,75255,21000,0.69
2024-11-18,75039,74366,75165,74305,18510,1.45
2024-11-15,73965,74191,74300,73900,9820,-0.25
2024-11-14,74151,74000,74878,73334,25710,-0.49
2024-11-13,74514,75097,75333,74363,18170,-0.54
2024-11-12,74918,75502,75588,74644,26010,-0.62
2024-11-11,75382,77019,77019,75348,27620,-2.42
2024-11-08,77248,77455,77589,77031,16020,-0.18
2024-11-07,77386,76459,77427,76311,21890,0.91
2024-11-06,76689,78355,78570,76412,47170,-2.29
2024-11-05,78490,78246,78670,78157,12200,0.11
2024-11-04,78401,78450,78642,78226,13380,-0.54
2024-11-01,78829,78600,78887,78550,3200,0.64
2024-10-31,78326,79264,79999,77803,90,-1.17
2024-10-30,79257,79119,79375,78888,130,0.5
2024-10-29,78865,78438,78926,78416,190,0.9
2024-10-28,78159,77765,78304,77746,410,0.19
2024-10-25,78009,77702,78104,77411,4700,0.18
2024-10-24,77872,76786,78072,76786,10090,0.5
2024-10-23,77482,78027,78497,77255,12950,-0.97
2024-10-22,78241,77798,78300,77635,11660,0.95
2024-10-21,77508,77300,77947,77300,16329,0.45
2024-10-18,77159,76666,77260,76666,16379,0.81
2024-10-17,76540,76198,76635,76121,17750,0.49
2024-10-16,76163,75900,76350,75867,15640,0.43
2024-10-15,75838,75639,75990,75275,14740,0.38
2024-10-14,75553,75832,75928,75435,12870,-0.24
2024-10-11,75738,75177,75827,75177,15840,1.21
2024-10-10,74834,74639,74950,74267,11930,0.43
2024-10-09,74512,74895,74936,74420,12360,-0.38
2024-10-08,74799,75523,75697,74481,23990,-1.13
2024-10-07,75657,75671,75930,75452,12880,-0.13
2024-10-04,75759,75889,76109,75377,330,-0.09
2024-10-03,75827,76000,76250,75150,230,0.22
2024-10-01,75660,74867,75736,74850,640,1.09
2024-09-30,74844,75169,75359,74620,1380,-0.05
2024-09-27,74878,75329,75380,74742,7530,-0.61
2024-09-26,75339,75199,75643,75075,15810,0.23
2024-09-25,75167,75000,75240,74838,10710,0.38
2024-09-24,74886,74273,74944,74217,15990,0.95
2024-09-23,74183,74171,74299,73929,12790,0.28
2024-09-20,73977,73450,74050,73364,20000,0.85
2024-09-19,73357,72949,73525,72750,19120,0.45
2024-09-18,73029,73162,73255,72910,10650,0.01
2024-09-17,73022,73389,73492,72907,16520,-0.54
2024-09-16,73422,73415,73649,73306,12250,0.07
2024-09-13,73367,72725,73450,72725,17690,0.94
2024-09-12,72681,71850,72723,71837,27820,1.12
2024-09-11,71878,71921,72147,71601,18960,0.08
2024-09-10,71821,71601,71901,71530,13030,0.35
2024-09-09,71573,71537,71640,71109,12550,0.23
2024-09-06,71409,71932,72138,71230,27360,-0.67
2024-09-05,71890,71060,72510,71053,50,1.18
2024-09-04,71053,71076,71105,70600,70,0.35
2024-09-03,70807,71194,71365,70575,420,-0.6
2024-09-02,71233,71126,71379,71026,1090,0.05
2024-08-30,71195,71463,71697,71129,7600,-0.66
2024-08-29,71666,71403,71718,71281,14010,0.47
2024-08-28,71328,71490,71543,71062,11790,-0.31
2024-08-27,71551,71695,71696,71245,11520,0.07
2024-08-26,71500,71417,71775,71252,14690,0.29
2024-08-23,71295,70918,71465,70845,15500,0.7
2024-08-22,70796,71315,71427,70537,17530,-0.86
2024-08-21,71407,71400,71658,71061,15960,0.09
2024-08-20,71340,71049,71777,70995,20810,0.28
2024-08-19,71138,71037,71272,70803,15290,0.28
2024-08-16,70938,69979,71038,69953,27670,1.52
2024-08-14,69874,70247,70630,69718,18580,-0.69
2024-08-13,70356,70437,70549,70191,12810,0.0
2024-08-12,70354,69504,70388,69436,15900,1.08
2024-08-09,69604,69633,69698,69212,11110,0.3
2024-08-08,69396,68949,69444,68608,14890,0.94
2024-08-07,68752,68617,69044,68521,11560,0.01
2024-08-06,68742,69200,69578,68533,15710,0.15
2024-08-05,68641,69849,70000,67924,110,-1.07
2024-08-02,69381,69783,70313,69043,580,-0.04
2024-08-01,69412,68145,69849,68145,210,0.48
2024-07-31,69083,68999,69226,68800,570,0.68
2024-07-30,68617,68206,68711,68011,5730,0.6
2024-07-29,68206,68391,68633,67980,11300,0.05
2024-07-26,68173,67976,68340,67670,11300,1.01
2024-07-25,67491,68028,68210,66960,14710,-2.23
2024-07-24,69028,69000,69349,68767,12010,0.55
2024-07-23,68648,72541,72740,68600,48270,-5.5
2024-07-22,72641,72999,73199,72470,11130,-0.32
2024-07-19,72872,73700,73700,72811,17590,-1.48
2024-07-18,73965,74289,74319,73869,11900,0.06
2024-07-17,73924,74236,74498,73860,12490,-0.14
2024-07-16,74025,73519,74074,73367,16900,0.97
2024-07-15,73311,73093,73533,72923,14640,0.21
2024-07-12,73159,73040,73180,72850,10750,-0.06
2024-07-11,73205,72671,73230,72671,16520,0.79
2024-07-10,72629,72491,72916,72466,11230,0.34
2024-07-09,72385,72401,72606,72130,10680,0.07
2024-07-08,72332,72900,73040,72127,14590,-1.26
2024-07-05,73255,72225,76479,72201,70,1.53
2024-07-04,72151,72234,72244,72050,70,-0.01
2024-07-03,72160,71524,72250,71496,180,1.13
2024-07-02,71357,71358,71575,71267,180,0.04
2024-07-01,71329,71262,71560,71061,3460,0.08
2024-06-28,71275,71199,71530,71150,9020,-0.04
2024-06-27,71303,70821,71395,70665,10720,0.54
2024-06-26,70919,71230,71240,70661,13460,-0.4
2024-06-25,71201,71444,71593,71101,9040,-0.43
2024-06-24,71512,71520,71597,71260,7670,0.12
2024-06-21,71429,72348,72542,71383,19530,-1.15
2024-06-20,72258,71570,72500,71570,17690,1.03
2024-06-19,71519,71534,71639,71405,6310,0.02
2024-06-18,71503,71482,71541,71032,13010,0.31
2024-06-17,71285,71463,71586,71170,7550,-0.57
2024-06-14,71691,71111,71743,71011,15740,0.93
2024-06-13,71030,71622,71622,70875,18030,-1.07
2024-06-12,71796,71400,71990,71290,16900,0.63
2024-06-11,71346,71199,71550,70871,12030,0.06
2024-06-10,71303,71306,71380,70684,14550,-0.01
2024-06-07,71308,73296,73333,71151,29730,-2.27
2024-06-06,72963,72540,73125,72516,13140,0.66
2024-06-05,72485,71890,72599,71425,140,0.98
2024-06-04,71782,72052,72300,71400,140,-0.05
2024-06-03,71818,72880,72880,71240,270,0.16
2024-05-31,71703,71846,72341,71612,300,-0.21
2024-05-30,71852,71721,72111,71501,3440,-0.2
2024-05-29,71993,72149,72380,71850,9520,-0.21
2024-05-28,72145,71993,72390,71720,10070,0.2
2024-05-27,72001,71847,72150,71552,11000,0.87
2024-05-24,71380,71773,71773,71280,11670,-0.35
2024-05-23,71632,72596,72726,71551,18390,-1.91
2024-05-22,73027,73993,73993,72970,15630,-1.27
2024-05-21,73970,73911,74285,73623,13670,-0.42
2024-05-20,74283,73929,74345,73542,12790,0.94
2024-05-17,73593,72798,73650,72760,16470,0.96
2024-05-16,72896,72860,73194,72701,12280,-0.14
2024-05-15,73001,72270,73041,72200,21500,1.09
2024-05-14,72213,71950,72257,71810,11480,0.55
2024-05-13,71819,72405,72405,71735,16920,-1.07
2024-05-10,72595,71690,72751,71690,21550,1.41
2024-05-09,71586,71002,71656,70910,18150,0.64
2024-05-08,71129,71170,71290,70900,11770,-0.01
2024-05-07,71136,71339,71365,70967,9590,-0.26
2024-05-06,71321,70690,71475,70690,16430,0.45
2024-05-03,70998,71009,71275,70586,210,-0.17
2024-05-02,71119,71871,71871,70800,380,-0.22
2024-05-01,71274,71130,71439,71005,210,0.43
2024-04-30,70969,72201,72201,70900,1990,-1.77
2024-04-29,72250,71953,72399,71805,4310,0.2
2024-04-26,72107,71782,72402,71636,10510,0.53
2024-04-25,71725,71559,71987,71300,10770,0.05
2024-04-24,71692,71750,71909,71394,10600,0.14
2024-04-23,71590,71710,71770,71010,18480,-0.48
2024-04-22,71936,73001,73001,71808,20680,-1.79
2024-04-19,73246,73171,73350,72821,18010,0.31
2024-04-18,73016,72666,73130,72639,13830,0.44
2024-04-17,72695,73197,73379,72550,15890,-0.57
2024-04-16,73109,72500,73335,72427,24810,1.08
2024-04-15,72329,71963,72410,71303,24040,0.66
2024-04-12,71857,71774,73931,71721,41610,0.48
2024-04-11,71514,71209,71549,70983,8890,0.54
2024-04-10,71127,71181,71479,70702,23200,0.0
2024-04-09,71130,70700,71448,70673,21010,0.74
2024-04-08,70607,70595,70776,70189,15270,-0.13
2024-04-05,70701,69560,71499,69455,120,1.56
2024-04-04,69612,69850,70200,69400,270,-0.16
2024-04-03,69725,70379,70379,69000,420,1.34
2024-04-02,68802,68550,69014,68500,610,0.79
2024-04-01,68263,68211,69387,68000,3020,0.99
2024-03-28,67592,66370,67870,66370,14140,1.96
2024-03-27,66295,66028,66380,65960,8910,0.41
2024-03-26,66027,65800,66280,65711,13050,0.25
2024-03-25,65862,66250,66350,65800,4180,0.27
2024-03-22,65686,65733,66061,65600,11510,-0.38
2024-03-21,65939,65456,66785,65390,19090,0.58
2024-03-20,65556,65455,65670,65400,7390,0.19
2024-03-19,65431,65452,65541,65222,8440,0.0
2024-03-18,65429,65252,65548,65041,8910,0.09
2024-03-15,65367,65484,65695,65349,7770,-0.1
2024-03-14,65435,65620,65675,65280,8360,-0.43
2024-03-13,65717,65490,65842,65300,8630,0.59
2024-03-12,65334,65852,65867,65260,15980,-0.82
2024-03-11,65872,66000,66026,65750,8450,0.04
2024-03-08,65847,65375,66120,65315,16030,0.92
2024-03-07,65246,65150,65419,65055,13400,0.31
2024-03-06,65042,64659,65127,64559,13400,1.32
2024-03-05,64193,64059,64541,64050,10,0.92
2024-03-04,63605,63153,64135,62620,90,0.74
2024-03-01,63135,62314,63190,62200,150,1.35
2024-02-29,62293,61835,62335,61810,640,0.81
2024-02-28,61792,61726,61948,61516,6650,-0.08
2024-02-27,61839,61888,61963,61744,11120,0.12
2024-02-26,61766,61948,61948,61666,6150,-0.23
2024-02-23,61910,61657,61936,61493,8910,0.4
2024-02-22,61661,61800,61943,61622,6620,-0.13
2024-02-21,61744,61850,61899,61690,4510,-0.11
2024-02-20,61810,61623,61870,61554,6250,0.27
2024-02-19,61641,61588,61770,61512,5100,0.23
2024-02-16,61498,61331,61525,61135,7190,0.31
2024-02-15,61306,61163,61420,61042,7050,0.22
2024-02-14,61170,61115,61211,60922,8990,-0.16
2024-02-13,61267,61965,62150,61153,14350,-0.95
2024-02-12,61856,62079,62079,61735,9080,-0.4
2024-02-09,62105,62249,62300,61966,6310,-0.18
2024-02-08,62219,62255,62329,62005,7530,-0.14
2024-02-07,62305,62243,62462,62191,5660,-0.03
2024-02-06,62322,62081,62367,62015,7330,-0.35
2024-02-05,62542,63441,63441,62400,80,-0.15
2024-02-02,62639,63360,63640,62453,230,-0.7
2024-02-01,63079,62900,63400,62430,160,0.34
2024-01-31,62865,62580,62982,62063,340,0.79
2024-01-30,62371,62280,62730,62254,3060,0.22
2024-01-29,62234,62196,62370,62125,10910,0.32
2024-01-25,62036,62047,62195,61933,8610,-0.06
2024-01-24,62072,62124,62294,61950,11110,0.11
2024-01-23,62003,61917,62239,61873,8770,0.19
2024-01-22,61888,62021,62030,61755,3840,-0.21
2024-01-19,62021,61874,62246,61850,10620,0.37
2024-01-18,61791,61600,61830,61512,8140,0.37
2024-01-17,61561,62091,62115,61515,13550,-0.81
2024-01-16,62065,62500,62530,62013,11280,-0.8
2024-01-15,62567,62521,62644,62448,4990,0.31
2024-01-12,62372,62098,62669,62098,15330,0.88
2024-01-11,61830,62102,62462,61775,13130,-0.35
2024-01-10,62047,62240,62390,62010,8400,-0.26
2024-01-09,62211,62211,62489,62152,9520,0.11
2024-01-08,62140,62530,62536,61977,14950,-0.78
2024-01-05,62627,62465,62763,62250,80,0.29
2024-01-04,62444,62518,62555,62218,60,0.24
2024-01-03,62294,63057,63122,62223,1250,-1.18
2024-01-02,63039,63072,63338,62894,680,0.06
2024-01-01,63001,63035,63188,62893,2410,0.07
2023-12-29,62954,62993,63107,62783,6770,-0.26
2023-12-28,63119,63119,63471,62969,7810,-0.27
2023-12-27,63292,62835,63317,62828,8280,0.91
2023-12-26,62722,63127,63250,62616,5660,0.1
2023-12-22,62657,62355,62948,62355,12200,0.64
